step,price,fundamental,log_return,volume,strategy_entropy,n_families,wealth_gini,acf1,mean_fitness
0,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
1,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
2,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
3,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
4,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
5,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
6,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
7,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
8,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
9,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
10,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
11,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
12,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
13,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
14,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
15,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
16,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
17,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
18,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
19,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
20,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
21,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
22,100.0,100.0,0.0,0.0,6.214608098422218,500,0.0,0.0,20000.0
23,99.9996000008,99.9996000008,-3.999999999948263e-06,0.0,6.214608098422218,500,5.988003592802156e-07,0.0,19999.988
24,99.9992000016,99.9992000016,-4.0000159999913825e-06,0.0,6.214608098422218,500,6.067843849619031e-07,0.0,19999.987839999678
25,99.99489746084954,99.99489746084954,-4.3026677344096804e-05,0.0,6.214608098422218,500,7.003164317172719e-05,0.0,19997.778118976497
26,99.91625291172355,99.91625291172355,-0.0007867950640720616,0.0,6.214608098422218,500,0.0005598163518983995,0.0,19981.98965194755
27,99.90155102588237,99.90155102588237,-0.00014715291208287584,0.0,6.214608098422218,500,0.0006489168012492211,0.0,19977.81650760299
28,99.84031312288768,99.84031312288768,-0.0006131704555211285,0.0,6.214608098422218,500,0.001096145430608087,0.0,19963.567369156153
29,99.8337522105489,99.8337522105489,-6.571621938168333e-05,0.0,6.214608098422218,500,0.0011649794551255597,0.0,19961.423082124107
30,99.77355086905474,99.77355086905474,-0.000603197802792699,0.0,6.214608098422218,500,0.0016033165549469242,0.0,19947.69566924227
