step,family_id,n_agents,total_wealth,wealth_share,alpha,phase,peak_alpha,t_peak,t_half,birth_step
2000,147456,3,60000.0,0.013196698307855357,0.0009240515054617697,crowding,0.002723310191432764,3,-1,0
2000,147457,3,31296.55536510578,0.004962305806321763,-1.358230533937816e-05,extinct,0.002723310191432764,3,-1,0
2000,147458,1,20000.0,0.0043988994359517855,0.0009240515054617697,crowding,0.002723310191432764,3,-1,0
2000,147459,4,80000.0,0.017595597743807142,0.0009240515054617697,crowding,0.002723310191432764,3,-1,0
2000,147460,4,14960.127232044379,0.0023720414390925805,-1.358230533937816e-05,extinct,0.002723310191432764,3,-1,0
2000,147461,1,16268.900709496145,0.0018897230709497758,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147462,1,15629.008338383874,0.0019187084866926947,0.0009170294531712947,extinct,0.002723310191432764,3,-1,0
2000,147463,1,16063.767767982816,0.001865895741795123,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147464,2,16541.577576618627,0.002030740824521543,0.0009170294531712947,extinct,0.002723310191432764,3,-1,0
2000,147465,2,32144.077878608885,0.003946195029605783,0.0009170294531712947,extinct,0.002723310191432764,3,-1,0
2000,147466,1,20000.0,0.0043988994359517855,0.0009240515054617697,crowding,0.002723310191432764,3,-1,0
2000,147467,1,17054.311887959528,0.001980952936484438,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147468,2,34911.36486100851,0.007678579159769866,0.0009240515054617697,crowding,0.002723310191432764,3,-1,0
2000,147469,1,16540.662727964536,0.00203062851234929,0.0009170294531712947,extinct,0.002723310191432764,3,-1,0
2000,147470,5,45500.057092618255,0.007214378543090764,-1.358230533937816e-05,extinct,0.002723310191432764,3,-1,0
2000,147471,1,16647.19717677403,0.0019336643042659606,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147472,1,17693.673119821196,0.0018548102630564786,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147473,1,16291.9599684693,0.002244171060880295,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147474,1,17528.557975356078,0.0018375014056775734,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147475,2,33462.87408924517,0.0038868984644932713,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147476,2,32608.59656066876,0.004491741256362113,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147477,1,16163.03033872183,0.0018774256400566453,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147478,4,69101.79894321128,0.010956613407541293,-1.358230533937816e-05,extinct,0.002723310191432764,3,-1,0
2000,147479,3,29473.5483039728,0.005235101912546524,-0.0011478889988382095,extinct,0.002723310191432764,3,-1,0
2000,147480,1,17838.175394156635,0.0018699582936353935,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147481,2,40000.0,0.008797798871903571,0.0009240515054617697,crowding,0.002723310191432764,3,-1,0
2000,147482,12,240000.0,0.05278679323142143,0.0009240515054617697,crowding,0.002723310191432764,3,-1,0
2000,147483,2,17302.397407877717,0.0023833559388654452,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147484,1,17422.900327094816,0.0018264254188523246,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147485,1,16515.165936188976,0.0019183281432139689,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147486,1,16521.121430475003,0.0026195488878881577,-1.358230533937816e-05,extinct,0.002723310191432764,3,-1,0
2000,147487,1,14993.313882359016,0.00237730343376348,-1.358230533937816e-05,extinct,0.002723310191432764,3,-1,0
2000,147488,4,66710.76054341003,0.013317020047034953,-0.0007395551465516476,extinct,0.002723310191432764,3,-1,0
2000,147489,1,15397.986879043654,0.0021210288152341264,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147490,1,16359.601870719836,0.0020084004223846785,0.0009170294531712947,extinct,0.002723310191432764,3,-1,0
2000,147491,11,74740.32467554283,0.013275402493718136,-0.0011478889988382095,extinct,0.002723310191432764,3,-1,0
2000,147492,2,29235.54148900631,0.004635516451871554,-1.358230533937816e-05,extinct,0.002723310191432764,3,-1,0
2000,147493,1,20000.0,0.0043988994359517855,0.0009240515054617697,crowding,0.002723310191432764,3,-1,0
2000,147494,3,33519.13364099778,0.005314712419599096,-1.358230533937816e-05,extinct,0.002723310191432764,3,-1,0
2000,147495,1,16649.172917164742,0.0028983669906254743,0.00024019815836428602,extinct,0.002723310191432764,3,-1,0
2000,147496,2,33692.807682220315,0.003913606526899595,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147497,3,51030.79104064413,0.006264838416641999,0.0009170294531712947,extinct,0.002723310191432764,3,-1,0
2000,147498,3,58014.94759793728,0.012760096013266935,0.0009240515054617697,crowding,0.002723310191432764,3,-1,0
2000,147499,4,60921.11591413045,0.007479032552318578,0.0009170294531712947,extinct,0.002723310191432764,3,-1,0
2000,147500,1,18113.49756505355,0.0018988200446561304,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147001,1,17843.07053397749,0.001870471446303996,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147002,3,15054.22429452905,0.002073676498786373,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147003,8,65686.82815959725,0.011435074607242768,0.00024019815836428602,extinct,0.002723310191432764,3,-1,0
2000,147004,5,84641.97878287728,0.018616577636292094,0.0009240515054617697,crowding,0.002723310191432764,3,-1,0
2000,147005,5,75733.756608463,0.013184091565517437,0.00024019815836428602,extinct,0.002723310191432764,3,-1,0
2000,147006,1,18370.137125773406,0.0019257233161196596,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147007,5,30556.83845330587,0.004845018089394558,-1.358230533937816e-05,extinct,0.002723310191432764,3,-1,0
2000,147008,1,16101.202113314792,0.0018702439486766391,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147009,1,18026.52400941315,0.0020938807678464893,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147010,1,20037.29938089348,0.0044888353223405675,-0.001163838566940349,extinct,0.002723310191432764,3,-1,0
2000,147011,3,57775.818761909526,0.011533397766999557,-0.0007395551465516476,extinct,0.002723310191432764,3,-1,0
2000,147012,1,16155.666934649604,0.0018765703398243507,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147013,2,30697.18370529981,0.0037685658371728733,0.0009170294531712947,extinct,0.002723310191432764,3,-1,0
2000,147014,2,14643.393266761452,0.002321820870833647,-1.358230533937816e-05,extinct,0.002723310191432764,3,-1,0
2000,147015,1,16777.108321063122,0.0019487542043717058,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147016,1,14489.503617704686,0.002297420501842923,-1.358230533937816e-05,extinct,0.002723310191432764,3,-1,0
2000,147017,1,17088.580837841608,0.0029748612056261607,0.00024019815836428602,extinct,0.002723310191432764,3,-1,0
2000,147018,1,17440.52407625195,0.003097791959276698,-0.0011478889988382095,extinct,0.002723310191432764,3,-1,0
2000,147019,2,35626.47535728187,0.004138212754595161,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147020,6,58485.84180949248,0.012863666827347091,0.0009240515054617697,crowding,0.002723310191432764,3,-1,0
2000,147021,2,16315.808928623237,0.002003024144642755,0.0009170294531712947,extinct,0.002723310191432764,3,-1,0
2000,147022,4,16696.028064981067,0.002299830289762005,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147023,1,18119.790813208056,0.0018994797596393277,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147024,1,16261.756415614569,0.0018888932215816634,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147025,1,15106.858589245485,0.002080926722899437,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147026,2,17095.179300433298,0.0019856999131597965,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147027,1,16844.30847957871,0.001956559875583668,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147028,3,50943.34946899341,0.009048575471338997,-0.0011478889988382095,extinct,0.002723310191432764,3,-1,0
2000,147029,2,16085.9286709841,0.001868469853618804,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147030,1,17620.46088425648,0.0018471354967721045,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147031,1,15990.134770351751,0.0025353569327074667,-1.358230533937816e-05,extinct,0.002723310191432764,3,-1,0
2000,147032,1,16769.726614678973,0.0020587497350089776,0.0009170294531712947,extinct,0.002723310191432764,3,-1,0
2000,147033,1,17524.78297252446,0.0018371056758623035,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147034,1,15381.398201766991,0.0027320493044556897,-0.0011478889988382095,extinct,0.002723310191432764,3,-1,0
2000,147035,1,17863.462809162815,0.0018726091483540267,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147036,9,156277.5506998931,0.03119663542462165,-0.0007395551465516476,extinct,0.002723310191432764,3,-1,0
2000,147037,2,32431.97734277761,0.003981539251916942,0.0009170294531712947,extinct,0.002723310191432764,3,-1,0
2000,147038,3,58325.22755141721,0.012828340528884435,0.0009240515054617697,crowding,0.002723310191432764,3,-1,0
2000,147039,1,18302.746348212353,0.0019186588075233314,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147040,1,17721.990653834855,0.0018577787621554106,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147041,1,16819.65976705658,0.00195369679088274,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147042,1,17997.641240995214,0.001886674940728407,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147043,1,15788.88789600108,0.0019383362364134124,0.0009170294531712947,extinct,0.002723310191432764,3,-1,0
2000,147044,1,17559.508141262995,0.002155707935099526,0.0009170294531712947,extinct,0.002723310191432764,3,-1,0
2000,147045,1,17854.623573984485,0.0018716825400678155,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147046,11,220000.0,0.04838789379546964,0.0009240515054617697,crowding,0.002723310191432764,3,-1,0
2000,147047,1,15354.892533799446,0.002115092691976286,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147048,1,18274.34936828506,0.001915681980187805,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147049,1,18327.477711256728,0.0019212513718644627,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147050,1,17094.561366821712,0.0019856281367427553,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147051,1,16695.979533735455,0.0019393306456525982,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147052,3,15920.192965680544,0.0027714627030238194,0.00024019815836428602,extinct,0.002723310191432764,3,-1,0
2000,147053,3,17761.268708527157,0.002446564152952576,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147054,2,31333.96896305197,0.0043161649369071785,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
